unified_round,native_id,date,role,feature_family,cohort_or_split,own_endpoint,own_metric,outcome,has_archived_metric,source_file
41,NEXT25,2026-08-03,search/test,frozen B+E law transferred zero-refit,OMatG Linear-ODE / MP-20 CSP (512 unseen compositions),MP-20 reference-match exclusion (StructureMatcher) four gates,"match protection LCB 0.877490 (<0.95), reject precision LCB 0.446289 (<0.90); nonmatch AUC 0.731252; Spearman 0.509 with RMSD",fail-gate,yes,2026-08-03-next25-omatg-blind-csp-screening.md | docs/plans/2026-08-03-next25-omatg-blind-csp-design.md | artifact mtime: docs/plans/2026-08-03-next25-omatg-blind-csp-implementation.md
45,NEXT29,2026-08-03,search/test,frozen C1.05>=6.3 molecular contact law transferred,OMatG 512,CSP reference-match exclusion,"coverage LCB 0.2460, nonmatch precision LCB 0.0000, savings LCB 0.0013; nonmatch AUC 0.6213",fail-gate,yes,2026-08-03-next29-next31-energy-boundary.md | docs/plans/next29_omatg_contact_transport.py | artifact mtime: $PRIS_ARCHIVE/next29_omatg_contact_features_v1
48,NEXT32,2026-08-03,search/test,absolute periodic contacts + SIVR/Madelung/SCBVE (140 candidates),"OMat24 rattled-relax dev 4,096 (parent-unique)",severe initial DFT response AUC + six gates,0/140 promoted; best AUC 0.6751; near-miss precision LCB 0.6653,fail-gate,yes,2026-08-03-next32-omat24-inorganic-response.md | docs/plans/2026-08-03-next32-omat24-inorganic-response-design.md | artifact mtime: $PRIS_ARCHIVE/next32_omat24_raw_audit_v1
49,NEXT33,2026-08-03,search/test,approximate symmetry recovery + directional steric imbalance (185 scan rows),"OMat24 rattled-relax dev 4,096",severe initial DFT response AUC + six gates,0/155 eligible rows pass; best AUC 0.706821 (vs NEXT32 best 0.675079); precision LCB max 0.681791,fail-gate,yes,2026-08-03-next33-symmetry-steric.md | docs/plans/2026-08-03-next33-symmetry-steric-design.md | artifact mtime: docs/plans/2026-08-03-next33-symmetry-steric-design.md
50,NEXT34,2026-08-03,search/test,analytic periodic point-charge (Ewald) field imbalance (130 scan rows),"OMat24 rattled-relax dev 4,096",severe initial DFT response AUC + six gates,0/130 pass; best new single AUC 0.532248; best new pair 0.627808 < comparator 0.706821,no-gain,yes,2026-08-03-next34-analytic-field.md | docs/plans/2026-08-03-next34-analytic-field-design.md | artifact mtime: docs/plans/2026-08-03-next34-analytic-field-design.md
51,NEXT35,2026-08-03,search/test,Coulomb-steric closed-form vector balance ACSB (90 scan rows),"OMat24 rattled-relax dev 4,096",severe initial DFT response AUC + six gates,0/90 pass; all 7 ACSB singles AUC < 0.50 (best 0.477258); best pair 0.627249,no-gain,yes,2026-08-03-next35-coulomb-steric-balance.md | docs/plans/2026-08-03-next35-coulomb-steric-balance-design.md | artifact mtime: docs/plans/2026-08-03-next35-coulomb-steric-balance-design.md
52,NEXT36,2026-08-03,search/test,weighted formal-charge long-wave spectrum CSF (85 scan rows),"OMat24 rattled-relax dev 4,096",severe initial DFT response AUC + six gates,0/85 pass; best new single AUC 0.490051; best new pair 0.611400,no-gain,yes,2026-08-03-next36-charge-spectrum.md | docs/plans/2026-08-03-next36-charge-spectrum-design.md | artifact mtime: docs/plans/2026-08-03-next36-charge-spectrum-design.md
53,NEXT37,2026-08-03,search/test,self-stress compatibility projection SSCP (85 scan rows),"OMat24 rattled-relax dev 4,096",severe initial DFT response AUC + six gates,0/85 pass; best new single AUC 0.638220 (load RMS); best new pair 0.694567 < comparator 0.706821,fail-gate,yes,2026-08-03-next37-self-stress-compatibility.md | docs/plans/2026-08-03-next37-self-stress-compatibility-design.md | artifact mtime: docs/plans/2026-08-03-next37-self-stress-compatibility-implementation.md
54,NEXT38,2026-08-03,search/test,bond-valence transport compatibility BVTC (85 scan rows),"OMat24 rattled-relax dev 4,096",severe initial DFT response AUC + six gates,0/85 pass; best new single AUC 0.568061; best new pair 0.665275 < comparator 0.706821,no-gain,yes,2026-08-03-next38-bond-valence-transport-compatibility.md | docs/plans/2026-08-03-next38-bond-valence-transport-compatibility-design.md | artifact mtime: docs/plans/2026-08-03-next38-bond-valence-transport-compatibility-design.md
55,NEXT39,2026-08-03,search/test,frozen B+E law transferred zero-refit,"OMat24 sparse trajectories 981 (step>=20, parent-unique)",step0-to-latest fingerprint change: coverage/protected recall/precision/savings,"protected class empty so protected-recall LCB 0.000000 (fail); Spearman 0.294705, severe(>=0.5) AUC 0.591597",fail-gate,yes,2026-08-03-next39-omat24-trajectory-confirmation.md | docs/plans/2026-08-03-next39-omat24-trajectory-confirmation-design.md | artifact mtime: docs/plans/2026-08-03-next39-omat24-trajectory-confirmation-design.md
56,NEXT40,2026-08-03,search/test,frozen B+E law transferred zero-refit (adaptive short-horizon),"OMat24 short trajectories 1,714 (parent-disjoint, steps 1-19)",step0-to-latest fingerprint change four gates,"protected recall 0.592593, LCB 0.480757 (<0.95); precision LCB 0.957480; no threshold passes four gates on this source",fail-gate,yes,2026-08-03-next40-omat24-short-horizon-validation.md | docs/plans/2026-08-03-next40-omat24-short-horizon-design.md | artifact mtime: docs/plans/2026-08-03-next40-omat24-short-horizon-design.md
57,NEXT41,2026-08-03,search/test,"B+E AND absolute covalent short-contact guard (6 guards, 8,442 candidates)","WBM 8,192 + OMat24 short 1,714 (both demoted to development)",per-source four gates (coverage/protected recall/precision/savings),"0/8,442 promoted; best worst-source protected-recall LCB 0.755672 among rows passing other three gates",fail-gate,yes,2026-08-03-next41-source-balanced-contact-guard.md | docs/plans/2026-08-03-next41-source-balanced-contact-guard-design.md | SSD/workspace_data/newpauling/next41_source_balanced_contact_guard_search_v1/MANIFEST.json :: candidate_count=8442; eligible_count=0 || SSD/workspace_data/newpauling/next41_source_
58,NEXT42,2026-08-03,search/test,frozen B+E law transferred zero-refit,"Alexandria round-1 raw x0 2,285 (force-converged DFT finals)",x0-to-converged-DFT structural change: coverage/protected recall/precision/savings gates,"protected recall 0.8162 (LCB 0.8001 fail), precision LCB 0.3696 fail; changed AUC 0.6294; Pauling P2+P5 also fails",fail-gate,yes,2026-08-03-next42-alexandria-converged-validation.md | docs/plans/2026-08-03-next42-converged-alexandria-source-design.md | artifact mtime: docs/plans/2026-08-03-next42-converged-alexandria-source-design.md
59,NEXT43,2026-08-03,search/test,"74-quantity analytic feature bank + 25,099 finite formulas","Alexandria 2,285 (discovery 1,381 / internal validation 904)",structural-change protection/precision/savings gates,"best (cov_q05 + sscp_load_q95): validation precision 0.6981, protected recall 0.9494, AUC 0.7033; precision gate fail",fail-gate,yes,2026-08-03-next43-next46-qualified-development-search.md | docs/plans/2026-08-03-next43-analytic-law-search-design.md | SSD/workspace_data/newpauling/next43_alexandria_development/features/MANIFEST.json :: candidate_feature_count=74 || SSD/workspace_data/newpauling/next43_alexandria_development/sear
60,NEXT44,2026-08-03,search/test,"87 rich tail/cell/composition features, 26,320 formulas","Alexandria 2,285 (dev/validation split)",structural-change protection/precision/savings gates,"best: precision 0.7647, protected recall 0.9621, changed AUC 0.7082; precision and savings gates fail",fail-gate,yes,2026-08-03-next43-next46-qualified-development-search.md | docs/plans/2026-08-03-next44-rich-analytic-features-design.md | SSD/workspace_data/newpauling/next44_alexandria_development/features/MANIFEST.json :: candidate_feature_count=87 || SSD/workspace_data/newpauling/next44_alexandria_development/sear
61,NEXT45,2026-08-03,search/test,"exhaustive 1-2 term conjunctive rectangles (528,488)","Alexandria 2,285",structural-change protection/precision/savings gates,"best rectangle precision 0.7568, savings 0.0832, changed AUC 0.5074; weaker than NEXT44",no-gain,yes,2026-08-03-next43-next46-qualified-development-search.md | docs/plans/2026-08-03-next45-exhaustive-rectangles-design.md | SSD/workspace_data/newpauling/next45_alexandria_development/search/NEXT45_EXHAUSTIVE_RECTANGLE_SEARCH.json :: candidate_count=528488; candidate_feature_count=161
62,NEXT46,2026-08-03,search/test,"local motif coherence (21 CrystalNN/Voronoi coordination order parameters), 26,913 formulas","Alexandria 2,285 (validation 904)",structural-change protection/precision/savings gates,"validation: coverage LCB 0.9369 pass, protected recall LCB 0.9512 pass, precision LCB 0.6993 fail, savings LCB 0.0926 fail; changed/severe AUC 0.7306/0.7763",fail-gate,yes,2026-08-03-next43-next46-qualified-development-search.md | docs/plans/2026-08-03-next46-motif-coherence-design.md | SSD/workspace_data/newpauling/next46_alexandria_development/features/MANIFEST.json :: candidate_feature_count=21 || SSD/workspace_data/newpauling/next46_alexandria_development/sear
99,NEXT83,2026-08-03,search/test,"SCIGEN source audit (official DFT archive, 24,742 POSCAR/CONTCAR)","SCIGEN 24,742",NA (source audit),NA,unmarked,no,2026-08-03-next83-next87-scigen-independent-dft-discovery-negative.md | docs/plans/2026-08-03-next83-next89-scigen-independent-dft-validation-design.md | artifact mtime: docs/plans/2026-08-03-next83-next89-scigen-independent-dft-validation-design.md
100,NEXT84,2026-08-03,search/test,geometry lockbox + reduced-formula-group partition,"SCIGEN (discovery 13,470 / validation 5,174 / replication 6,098)",NA (partition before endpoint opening),NA,unmarked,no,2026-08-03-next83-next87-scigen-independent-dft-discovery-negative.md | docs/plans/2026-08-03-next83-next89-scigen-independent-dft-validation-design.md | artifact mtime: tests/test_next84_scigen_geometry_lockbox.py
101,NEXT85,2026-08-03,search/test,174 label-free analytic x0 features,SCIGEN all partitions,NA (label-free feature build),zero full-row analytic feature errors,unmarked,yes,2026-08-03-next83-next87-scigen-independent-dft-discovery-negative.md | docs/plans/2026-08-03-next83-next89-scigen-independent-dft-validation-design.md | artifact mtime: tests/test_next85_scigen_label_free_features.py
102,NEXT86,2026-08-03,search/test,endpoint router + 90-term frozen candidate catalogue,SCIGEN discovery,NA (label-free term freeze),86/90 terms passed label-free coverage/variability,unmarked,yes,2026-08-03-next83-next87-scigen-independent-dft-discovery-negative.md | docs/plans/2026-08-03-next83-next89-scigen-independent-dft-validation-design.md | artifact mtime: docs/plans/2026-08-03-next86-scigen-term-catalogue-amendment.md
103,NEXT87,2026-08-03,search/test,"sparse nonnegative hinge law search (6,186 formulas, 1-3 terms)","SCIGEN discovery 13,470",protected-vs-severe instability gates + fold-stability + Pauling comparison,"pooled AUC 0.82146, severe precision LCB 0.98505, protected recall LCB 0.99861; FAIL: exact term-list fold wins max 2/5 (<4/5) and severe rejected 296 < Pauling 882",fail-gate,yes,2026-08-03-next83-next87-scigen-independent-dft-discovery-negative.md | docs/plans/2026-08-03-next83-next89-scigen-independent-dft-validation-design.md | SSD/workspace_data/newpauling/next87_scigen_sparse_law_search_v1/MANIFEST.json :: candidate_count=6186 || SSD/workspace_data/newpauling/next87_scigen_sparse_law_search_v1/NEXT87_DI
104,NEXT88,2026-08-03 (range-plan date),search/test,reserved (SCIGEN validation slot; NEXT88 not authorized after NEXT87 discovery failure),SCIGEN,NA,NA,not-run (blocked upstream),no,2026-08-03-next83-next87-scigen-independent-dft-discovery-negative.md | docs/plans/2026-08-03-next83-next89-scigen-independent-dft-validation-design.md
105,NEXT89,2026-08-03 (range-plan date),search/test,reserved (SCIGEN replication slot; NEXT89 not authorized after NEXT87 discovery failure),SCIGEN,NA,NA,not-run (blocked upstream),no,2026-08-03-next83-next87-scigen-independent-dft-discovery-negative.md | docs/plans/2026-08-03-next83-next89-scigen-independent-dft-validation-design.md
106,NEXT90,2026-08-03,search/test,"four fixed mechanism envelopes, 125 frozen weight vectors","SCIGEN discovery 13,470",protected-vs-severe gates + fold-stability + Pauling severe count,"best pooled/macro AUC 0.85267/0.68735; FAIL: fold wins max 3/5, worst lattice AUC 0.52336 (<0.55), severe rejected 303 < 882",fail-gate,yes,2026-08-03-next90-next92-rli-one-shot-validation.md | docs/plans/2026-08-03-next90-scigen-mechanism-envelope-design.md | SSD/workspace_data/newpauling/next90_scigen_mechanism_envelope_v1/MANIFEST.json :: candidate_count=125 || SSD/workspace_data/newpauling/next90_scigen_mechanism_envelope_v1/NEXT90_D
107,NEXT91,2026-08-03,search/test,RLI two-term (sivr_edge_mismatch_max + 4x sscp_load_rms) endpoint-free freeze,SCIGEN all partitions,NA (endpoint-free prediction freeze),"frozen rejects: discovery 1,672/13,470; validation 652/5,174; replication 814/6,098",unmarked,yes,2026-08-03-next90-next92-rli-one-shot-validation.md | docs/plans/2026-08-03-next91-next93-scigen-fixed-rli-validation-design.md | artifact mtime: docs/plans/2026-08-03-next91-next93-scigen-fixed-rli-validation-design.md
108,NEXT92,2026-08-03,search/test,RLI one-shot internal validation,"SCIGEN internal validation 5,174 (composition-isolated)",protected-vs-severe gates incl. worst-lattice AUC >= 0.55,"all aggregate gates pass (severe precision LCB 0.93701, pooled AUC 0.80195, severe rejected 520 > Pauling 333) but worst lattice sqr AUC 0.52982 < 0.55; formal failure",fail-gate,yes,2026-08-03-next90-next92-rli-one-shot-validation.md | docs/plans/2026-08-03-next91-next93-scigen-fixed-rli-validation-design.md | SSD/workspace_data/newpauling/next92_scigen_rli_internal_validation_v1/NEXT92_RLI_INTERNAL_VALIDATION.json :: passes_all_gates=False
109,NEXT93,2026-08-04,search/test,WyFormer source lockbox (93b blind reroute after V1 aggregate-count exposure),"WyFormer/DiffCSP++ 9,580 x0 (discovery 5,232 / validation 2,135 / replication 2,213)",NA (partition + blind repair),V1 permanently marked non-blind; 93b rerouted with new salt,unmarked,yes,2026-08-04-next93-next98b-wyformer-cross-source-no-dft-search.md | docs/plans/2026-08-03-next91-next93-scigen-fixed-rli-validation-design.md | artifact mtime: $PRIS_ARCHIVE/next93_wyformer_source_audit_v1
110,NEXT94,2026-08-04,search/test,label-free analytic features (SCIGEN-isomorphic implementation),"WyFormer 9,580",NA (label-free feature build),no full-row errors,unmarked,yes,2026-08-04-next93-next98b-wyformer-cross-source-no-dft-search.md | docs/plans/2026-08-03-next93-next97-wyformer-no-dft-loop.md | artifact mtime: tests/test_next94_wyformer_label_free_features.py
111,NEXT95,2026-08-04,search/test,"CVR-Risk three-hinge law (cov_site_overlap_max + scbv_mismatch_q95 + 0.5 sivr_edge_mismatch_rms), SAFE/BROAD thresholds","WyFormer discovery 5,232 (6,170 candidates)",protected-vs-severe SAFE gates and BROAD Pauling-Pareto on discovery,"SAFE discovery: coverage LB 0.9788, protected recall LB 0.9950, severe precision LB 0.9325, savings LB 0.0359, 5/5 folds pass; BROAD Pareto-dominates Pauling",probe-pass,yes,2026-08-04-next93-next98b-wyformer-cross-source-no-dft-search.md | docs/plans/2026-08-03-next93-next97-wyformer-no-dft-loop.md | SSD/workspace_data/newpauling/next95_wyformer_sparse_law_search_v1/NEXT95_WYFORMER_DISCOVERY_EVALUATION.json :: passes_all_discovery_gates=False; passes_all_discovery_gates=False; 
112,NEXT96,2026-08-04,search/test,"dual operating-point candidate freeze (formula + per-row decisions, all partitions)",WyFormer,NA (pre-validation freeze),NA,probe-pass,no,2026-08-04-next93-next98b-wyformer-cross-source-no-dft-search.md | docs/plans/2026-08-03-next93-next97-wyformer-no-dft-loop.md | SSD/workspace_data/newpauling/next96_wyformer_dual_operating_candidate_v1/NEXT96_DISCOVERY_DUAL_OPERATING_EVIDENCE.json :: passes_all=True
113,NEXT97,2026-08-04,search/test,CVR-Risk one-shot internal validation,"WyFormer internal validation 2,135",SAFE aggregate + per-fold gates; BROAD Pauling-Pareto,"SAFE aggregate: precision LB 0.834175, pooled AUC 0.761935 pass; per-fold precision LBs 0.4976-0.7689 fail 0.80 gate (fold savings LB 0.01936 also fails); BROAD beats Pauling overall and 5/5 folds",fail-gate,yes,2026-08-04-next93-next98b-wyformer-cross-source-no-dft-search.md | docs/plans/2026-08-03-next93-next97-wyformer-no-dft-loop.md | SSD/workspace_data/newpauling/next97_wyformer_dual_operating_one_shot_validation_v1/NEXT97_WYFORMER_DUAL_OPERATING_VALIDATION.json :: passes_all=True; passes_all_validation_gates=F
114,NEXT98,2026-08-04,search/test,"cross-source three-term nonnegative-sum search with shared threshold (NEXT98 top-slice 798 + NEXT98b exhaustive 12,111)","SCIGEN discovery 13,470 + WyFormer discovery 5,232",dual-source AUC gates + 12 SAFE cells + shared BROAD,"67/12,111 pass dual-source AUC; 0 pass SAFE 12/12; 0 pass SAFE+BROAD; best candidate 9/12 cells",fail-gate,yes,2026-08-04-next93-next98b-wyformer-cross-source-no-dft-search.md | docs/plans/2026-08-04-next98-next100-cross-source-replication.md | SSD/workspace_data/newpauling/next98b_cross_source_exhaustive_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=121
115,NEXT99,2026-08-04 (range-plan date),search/test,reserved (cross-source replication slot; plan docs/plans/2026-08-04-next98-next100-cross-source-replication.md; replication never authorized),SCIGEN+WyFormer replication,NA,NA,not-run (blocked upstream),no,docs/plans/2026-08-04-next98-next100-cross-source-replication.md | docs/plans/2026-08-04-next98-next100-cross-source-replication.md
116,NEXT100,2026-08-04 (range-plan date),search/test,reserved (cross-source replication slot; plan docs/plans/2026-08-04-next98-next100-cross-source-replication.md; replication never authorized),SCIGEN+WyFormer replication,NA,NA,not-run (blocked upstream),no,docs/plans/2026-08-04-next98-next100-cross-source-replication.md | docs/plans/2026-08-04-next98-next100-cross-source-replication.md
117,NEXT101,2026-08-04,search/test,DOBVR discrete oxidation-state bond-valence realizability (strict + 101b expanded catalogue),SCIGEN + WyFormer discovery,NA (mechanism + catalogue build),"strict coverage 2,332/13,470 (17.31%) and 1,884/5,232 (36.01%); expanded 7,112/13,470 (52.80%) and 3,000/5,232 (57.34%)",unmarked,yes,2026-08-04-next101-next103-dobvr-no-dft-search.md | docs/plans/2026-08-04-next101-discrete-oxidation-bv-realizability.md | artifact mtime: docs/plans/2026-08-04-next101-discrete-oxidation-bv-realizability.md
118,NEXT102,2026-08-04,search/test,cross-source DOBVR label-free features,"SCIGEN 13,470 + WyFormer 5,232 discovery",NA (label-free feature build),no endpoint opened during build,unmarked,yes,2026-08-04-next101-next103-dobvr-no-dft-search.md | docs/plans/next102_cross_source_dobvr_features.py | artifact mtime: tests/test_next102_cross_source_dobvr_features.py
119,NEXT103,2026-08-04,search/test,"DOBVR as optional fail-open guard on 67 AUC-qualified bases (4,757 candidates)",SCIGEN + WyFormer discovery,dual-source AUC + 12 SAFE cells + BROAD,"3,114/4,757 pass dual AUC; 0 pass SAFE 12/12 (max 9/12); best diagnostic candidate fails WyFormer folds 0/3/4 precision LCBs 0.6467/0.7338/0.7252 (<0.80)",fail-gate,yes,2026-08-04-next101-next103-dobvr-no-dft-search.md | docs/plans/2026-08-04-next103-dobvr-optional-guard-cross-source-search.md | SSD/workspace_data/newpauling/next103_dobvr_optional_guard_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=4757; 
120,NEXT104,2026-08-04,search/test,CMVF convex mixed-valence flow certificate (lexicographic LPs: reallocation/overload/scale mismatch),SCIGEN + WyFormer discovery,NA (mechanism build),NA,unmarked,no,2026-08-04-next104-next108-cmvf-no-dft-search.md | docs/plans/2026-08-04-next104-convex-mixed-valence-flow-certificate-design.md | artifact mtime: docs/plans/2026-08-04-next104-convex-mixed-valence-flow-certificate-design.md
