unified_round,segment,native_id,date,artifact_mtime_span,session_first_mention_utc,problem,problem_detail,problem_evidence,role,feature_family,cohort_or_split,own_endpoint,own_metric,outcome,source_file
11,loop,loop investigation 11,2026-07-29,NA,NA,plausibility,,mined from round report/controls,search/test,D1 robustness across three neighbour algorithms,calibration real structures,satisfaction spread across CrystalNN/BrunnerNN/MinimumDistanceNN,0.9895 / 0.9883 / 0.9877; spread 0.18 pp (Pauling rule 4: 5.74 pp),pass,src/robust_blmin.py 2026-07-29 04:00; notes/结果总结.md 稳健性自查; paper/FACTS.md sec 3
12,loop,loop investigation 12,2026-07-29,NA,NA,plausibility,,mined from round report/controls,search/test,negative generator rebuilt to five classes (S5 added),discovery + calibration perturbed sets,perturbation-class construction,"S1 1,904 / S2 1,218 / S3 1,905 / S4 1,660 / S5 1,903 on discovery",unmarked,"src/make_negatives.py 04:15, verify_negatives.py 04:20, phys_law.py 04:18, elec_feat.py 04:18, formula2.py 04:26; paper/FACTS.md sec 7"
13,loop,loop investigation 13,2026-07-29,NA,NA,plausibility,,mined from round report/controls,search/test,"guarded rule search, LeMat conjunction false-positive test, final rule sets",discovery/calibration; 295 LeMat DFT-relaxed,real-vs-perturbed satisfaction/exclusion; false-positive gap,"trusted core (D1@0.804,D3,D4,D5) 0.9577/0.6185 and manual fifth rule D6 (fi>0.55) 0.9169/0.7016, as recorded then; six-rule conjunction false-positive gap +5.2 pp traced entirely to the three coordination-number rules",pass,"src/t0_guard.py 04:38, geom_feat.py 04:50, false_positive.py 05:04, rules_final.py 05:05, sym_feat.py 05:18; notes/结果总结.md 可信核心四条 and 手工补的第五条"
14,loop,loop investigation 14,2026-07-29,NA,NA,adjacent,,mined from round report/controls,search/test,cross-database scan and the synthesis-target ranking task,"Alexandria, ELEMENTA, LeMat, MP synthesis labels",polymorph ranking accuracy (group-equal),MP experimental 0.6912 > ELEMENTA 0.6323 > Alexandria 0.6287 > LeMat 0.5987 in the matched 50-200 meV window,diagnostic-only,"src/alex_scan.py 07:46, elem_feat.py 08:00, alex_feat.py 08:00, synth_target.py 08:45; git d99e888 09:07; paper/FACTS.md sec 18"
15,loop,loop investigation 15,2026-07-29,NA,NA,plausibility,,mined from round report/controls,search/test,"certified-optimal tree frontier, leave-one-perturbation-out collapse, guarded two-sided band",discovery split,real-vs-perturbed satisfaction/exclusion; held-out-class exclusion,"certified tree (depth<=3, cost ratio 2.5) 0.9518/0.6732 on discovery, dominating L2 in distribution, but mean held-out-class exclusion collapses to 0.2318 (single threshold 0.2771); guarded band D2 gives L1' 0.9870/0.3885 with S4 0.002 -> 0.513","mixed: D2 accepted, certified tree refuted out of distribution","git ce4e35f 2026-07-29 20:56 (commit message records both results); paper/data/fig3_certified_frontier.csv, fig3_loko.csv, band_scan.csv, band_frontier.csv; paper/FACTS.md sec 9-12"
16,loop,loop investigation 16,2026-07-29,NA,NA,plausibility,,mined from round report/controls,search/test,independent re-verification of every reported number in a second environment,stored matrix realmat.npz,numerical reproduction,agreement to four decimal places between two agents in two environments,pass,git e4553cc 2026-07-29 22:44; paper/FACTS.md sec 20
17,next,NEXT1,2026-07-31,NA,NA,plausibility,,mined from round report/controls,search/test,"frozen P1 descriptor vocabulary (bond-valence, entropy CN, directional asymmetry)",discovery/calibration real vs perturbed,real-vs-perturbed satisfaction/exclusion deltas vs the existing set,"frozen vocab: calibration pooled exclusion +0.0086, min-kind +0.0585, worst-anion satisfaction -0.0227; extended vocab +0.1290 pooled but LOKO macro -0.0286",fail-gate,reports/2026-07-31-better-laws-formulas.md
18,next,NEXT2,2026-08-01,NA,NA,plausibility,,mined from round report/controls,search/test,"P2 Voronoi solid angle, P3 Hawthorne prior bond strength, P5 iterative Hoppe ECoN/MEFIR (physically isolated splits)",discovery/calibration real vs perturbed,real-vs-perturbed satisfaction/exclusion deltas,calibration pooled exclusion +0.0271 at satisfaction -0.0026; S5 exclusion +0.1888; worst anion layer (nitrides) -0.0342,fail-gate,reports/2026-08-01-p235-isolated.md
19,next,NEXT3,2026-08-01,NA,NA,plausibility,,mined from round report/controls,search/test,"six descriptor families: P4 ChemEnv CSM, P6 shell gap, P7 polyanion contact, P8 neighbour-algorithm Jaccard, P9 Hawthorne Lewis match, P10 Voronoi free volume",discovery/calibration real vs perturbed,real-vs-perturbed satisfaction/exclusion deltas,calibration exclusion +0.0581 at satisfaction -0.0009 (strongest raw gain of the programme); LOKO macro +0.0258; worst anion -0.0380,fail-gate,reports/2026-08-01-six-families.md
20,next,NEXT4,2026-08-01,NA,NA,plausibility,,mined from round report/controls,search/test,corrected periodic-neighbour P2/P6/P7/P9; robust per-anion zero-degradation and soft-margin sequential searches,discovery/calibration real vs perturbed; 295 LeMat DFT-relaxed,real-vs-perturbed exclusion deltas; true leave-one-perturbation-kind-out,calibration gain +0.00443; true LOKO macro about -0.10; p9c_bond_mismatch_max <= 2 recurs in 3/5 LOKO refits,fail-gate,reports/2026-08-01-corrected-anion-law-followup.md
21,next,NEXT5,2026-08-01,NA,NA,plausibility,,mined from round report/controls,search/test,"composition-level valence-confidence guards (z_an_abs, oxi_n_guesses, oxi_unique)",discovery/calibration; post-2019 COD temporal holdout,real-vs-perturbed satisfaction/exclusion deltas,"beam selects no new guard (bit-identical to previous round); diagnosed variant V4: calibration -0.0002 satisfaction / +0.0238 exclusion, temporal holdout +0.0355, S5 0.109 -> 0.391",fail-gate,reports/2026-08-01-valence-guards.md
22,next,NEXT6,2026-08-01,2026-08-01T07:22 .. 2026-08-01T10:29,2026-08-01T12:13:41,adjacent,,mined from round report/controls,search/test,Ewald+packing+Pauling analytic laws; MatterSim x0 MLIP baseline; physics hybrid,WBM + ELEMENTA,pre-DFT KEEP/REJECT savings with stable-recall and group-min retention lower bounds,WBM savings 1.5878% @ stable-recall LCB 99.1209%; ELEMENTA law-only savings 5.3965%; MatterSim alpha=0.035 savings 28.705%,fail-gate,2026-08-01-dft-prescreening-x0-followup.md | docs/plans/next6_elementa_diagnostics.py | artifact mtime: tests/test_next6_wbm_features.py
23,next,NEXT7,2026-08-01,2026-08-01T13:18 .. 2026-08-01T14:56,2026-08-01T15:46:17,adjacent,,mined from round report/controls,search/test,MatterSim 5M few-step fixed-cell FIRE prerelax (S8 vs S0),"ELEMENTA (test 8,765)",DFT savings improvement vs S0 (+3pp preregistered gate),"S8-S0 savings +0.0685 pp, 95% CI [+0.0114,+0.1368] pp",fail-gate,2026-08-01-mattersim-fewstep-followup.md | docs/plans/next7_fewstep_evaluate.py | artifact mtime: tests/test_next7_mattersim_prerelax.py
24,next,NEXT8,2026-08-01,2026-08-01T18:10 .. 2026-08-01T19:06,2026-08-01T20:19:12,adjacent,,mined from round report/controls,search/test,MatterSim 1M/5M two-checkpoint committee (AGREE995 of 11 formulas),"ELEMENTA (development gate 2,171)",development-gate DFT savings improvement vs M5 (+3pp gate),"AGREE995-M5 +0.184247 pp, 95% CI [-0.368664,+0.738007] pp; valuable recall -0.269724 pp",fail-gate,2026-08-01-mattersim-committee-followup.md | docs/plans/next8_mattersim_committee_features.py | artifact mtime: tests/test_next8_mattersim_committee_features.py
25,next,NEXT9,2026-08-02,2026-08-01T22:24 .. 2026-08-01T23:28,2026-08-01T22:07:17,adjacent,,mined from round report/controls,search/test,LRRC-v0 directional curvature along MatterSim force direction,"ELEMENTA development gate (2,171)",label-free stop-66 necessary condition (66 net additional rejects for +3pp savings),"kappa_h/kappa_h2/U_num all positive on 2,164 strict rows; LRRC_negative=0",fail-gate,2026-08-02-lrrc-label-free-falsification.md | docs/plans/2026-08-01-next9-lrrc-design.md | artifact mtime: docs/plans/2026-08-01-next9-lrrc-design.md
26,next,NEXT10,2026-08-02,2026-08-01T23:02 .. 2026-08-02T00:48,2026-08-02T04:01:32,adjacent,,mined from round report/controls,search/test,LRRC gate diagnostic (five composed strategies incl. sqrt-quota),"ELEMENTA development gate (2,171)",label-free stop-66 necessary condition before opening labels,0 additional rejects < 66 required; labels never opened,fail-gate,2026-08-02-lrrc-label-free-falsification.md | docs/plans/2026-08-01-next10-lrrc-gate-diagnostic-design.md | artifact mtime: docs/plans/2026-08-01-next10-lrrc-gate-diagnostic-design.md
27,next,NEXT11,2026-08-02,2026-08-02T02:04 .. 2026-08-02T03:11,2026-08-02T06:31:43,adjacent,,mined from round report/controls,search/test,"PHSC-v0 full projected-Hessian minimum eigenvalue (MatterSim 5M, 3N-3 space)","ELEMENTA development gate (2,171)",label-free stop-66 necessary condition,158 resolved negatives; 149 net additional rejects vs 66 required (+6.86320 pp); passes=true,probe-pass,2026-08-02-phsc-label-free-followup.md | docs/plans/2026-08-02-next11-phsc-design.md | artifact mtime: docs/plans/2026-08-02-next11-phsc-design.md
28,next,NEXT12,2026-08-02,2026-08-02T03:39 .. 2026-08-02T04:40,2026-08-02T08:27:30,adjacent,,mined from round report/controls,search/test,CHSC-v0 6x6 homogeneous cell-strain Hessian (MatterSim 5M),"ELEMENTA gate (2,171) + SSAGen CIVAE prospective 256",label-free incremental rejects; 256-task VASP PBE queue prepared but DFT not run,"CHSC 10 resolved negatives, net +5 rejects vs M5+PHSC; SSAGen: PHSC 256/256 negative, CHSC 254/256, Pauling2-5 reject 181/abstain 75",unmarked,2026-08-02-next12-chsc-prospective-dft-queue.md | docs/plans/2026-08-02-next12-chsc-independent-dft.md | artifact mtime: docs/plans/2026-08-02-next12-chsc-independent-dft.md
29,next,NEXT13,2026-08-02,2026-08-02T04:53 .. 2026-08-02T05:57,2026-08-02T09:45:41,adjacent,,mined from round report/controls,search/test,ACSC-v0 atomic-cell coupled block Hessian (MatterSim 5M),"ELEMENTA old cohort (1,929 pure-block-nonnegative rows)",label-free coupling-only negative increments; independent DFT not yet run,"123/1,929 coupling negatives (6.38%); +116 net rejects vs M5+PHSC+CHSC",unmarked,2026-08-02-next13-acsc-coupled-hessian.md | docs/plans/2026-08-02-next13-acsc-coupled-hessian.md | artifact mtime: docs/plans/2026-08-02-next13-acsc-coupled-hessian.md
30,next,NEXT14,2026-08-02,2026-08-02T06:06 .. 2026-08-02T06:35,2026-08-02T11:02:08,adjacent,,mined from round report/controls,search/test,nested ACSC on WBM x0 vs Pauling P2-P5,"WBM (2,048 x0)",stable-structure recall / screening-rate safety gates,"nested ACSC screening 45.02%, high-energy recall 65.70%, stable recall 72.56% (below 95% safety bound)",fail-gate,2026-08-02-next17-strict-relax-group-gap.md | docs/plans/2026-08-02-next14-wbm-acsc-external-validation.md | artifact mtime: docs/plans/2026-08-02-next14-wbm-acsc-external-validation.md
31,next,NEXT15,2026-08-02,2026-08-02T07:09 .. 2026-08-02T07:22,2026-08-02T12:05:09,adjacent,,mined from round report/controls,search/test,"B64 absolute basin-hull (MatterSim full-cell relaxed E minus raw MP hull), threshold 0.20",WBM,five-metric screening gate (all metrics must exceed Pauling),"coverage 100%, screening 25.05%, high-energy recall 87.98%, stable recall 98.74%, reject precision 99.22%; failed screening-rate criterion",fail-gate,2026-08-02-next17-strict-relax-group-gap.md | docs/plans/2026-08-02-next15-basin-hull-design.md | artifact mtime: tests/test_next15_basin_hull.py
32,next,NEXT16,2026-08-02,2026-08-02T07:26 .. 2026-08-02T08:07,2026-08-02T12:23:57,adjacent,,mined from round report/controls,search/test,B64>=0.15 fixed (post-hoc WBM-selected) applied cross-source,ELEMENTA (400 complete groups),group-min / valuable retention cross-source,"group-min retention 72.75%, valuable retention 72.98%, 103/400 groups emptied",fail-gate,2026-08-02-next17-strict-relax-group-gap.md | docs/plans/2026-08-02-next16-alexandria-basin-hull-design.md | artifact mtime: docs/plans/2026-08-02-next16-alexandria-basin-hull-design.md
33,next,NEXT17,2026-08-02,2026-08-02T08:15 .. 2026-08-02T08:36,2026-08-02T13:09:11,adjacent,,mined from round report/controls,search/test,R64s strict MatterSim full-cell prerelax same-composition gap >= 0.06 eV/atom,"ELEMENTA (400 groups, 1,988 candidates)",DFT savings + group-min/valuable recall/precision Wilson gates; promotion vs x0,"savings 18.21% (CI 16.57-19.97%), group-min retention 98.75%, valuable 96.17%, precision 98.62%; savings gain vs x0 +3.873 pp CI [+2.917,+4.884]",pass,2026-08-02-next17-strict-relax-group-gap.md | docs/plans/2026-08-02-next17-strict-relax-gap-design.md | artifact mtime: docs/plans/2026-08-02-next17-strict-relax-gap-design.md
34,next,NEXT18,2026-08-02,2026-08-02T08:46 .. 2026-08-02T08:52,2026-08-02T13:46:00,adjacent,,mined from round report/controls,search/test,Alexandria external falsification route (geometry-optimization paths),Alexandria 2025.07 paths,cross-source validation cohort reconstruction,"41/10,000 pilot shard intersect benchmark; m3gnet/rng cohort membership unreconstructible; route stopped",abandoned-family,2026-08-02-next17-strict-relax-group-gap.md | docs/plans/2026-08-02-next18-alexandria-external-falsification.md | artifact mtime: docs/plans/2026-08-02-next18-alexandria-external-falsification.md
35,next,NEXT19,2026-08-02,2026-08-02T09:40 .. 2026-08-02T09:51,2026-08-02T14:11:17,adjacent,,mined from round report/controls,search/test,valence transport / global valence-flow conservation law,WBM,hull-label safety+savings gates,NA,fail-gate,2026-08-02-next23-analytic-relaxation-change-screening.md | docs/plans/2026-08-02-next19-valence-transport-law-design.md | artifact mtime: $PRIS_ARCHIVE/next19_wbm_valence_transport
36,next,NEXT20,2026-08-02,2026-08-02T10:06 .. 2026-08-02T10:15,2026-08-02T15:06:03,adjacent,,mined from round report/controls,search/test,valence rigidity (SIVR) analytic features,WBM,hull-label safety+savings gates,NA,fail-gate,2026-08-02-next23-analytic-relaxation-change-screening.md | docs/plans/2026-08-02-next20-valence-rigidity-design.md | artifact mtime: docs/plans/2026-08-02-next20-valence-rigidity-design.md
37,next,NEXT21,2026-08-02,2026-08-02T10:23 .. 2026-08-02T10:26,2026-08-02T15:23:41,adjacent,,mined from round report/controls,search/test,normalized Madelung analytic features,WBM,hull-label safety+savings gates,NA,fail-gate,2026-08-02-next23-analytic-relaxation-change-screening.md | docs/plans/2026-08-02-next21-normalized-madelung-design.md | artifact mtime: docs/plans/2026-08-02-next21-normalized-madelung-design.md
38,next,NEXT22,2026-08-02,2026-08-02T10:28 .. 2026-08-02T10:37,2026-08-02T15:28:41,adjacent,,mined from round report/controls,search/test,scale-calibrated bond valence (SCBVE) analytic features,WBM,hull-label safety+savings gates,NA,fail-gate,2026-08-02-next23-analytic-relaxation-change-screening.md | docs/plans/2026-08-02-next22-scale-calibrated-bond-valence-design.md | artifact mtime: docs/plans/2026-08-02-next22-scale-calibrated-bond-valence-design.md
39,next,NEXT23,2026-08-02,2026-08-02T10:45 .. 2026-08-02T21:31,2026-08-02T15:42:09,plausibility,,mined from round report/controls,search/test,B+E two-term law: SIVR cell anisotropy + SCBVE bond-valence vector asymmetry,"WBM blind 8,192 (zero dev-ID overlap)",DFT relaxation structural change (fingerprint diff > 0.10) four preregistered gates,"coverage LCB 0.981173, low-change recall LCB 0.957550, reject precision LCB 0.922516, savings LCB 0.101685; changed AUC 0.749675; all 4 gates pass, Pauling 2-5 all fail",probe-pass,2026-08-02-next23-analytic-relaxation-change-screening.md | docs/plans/2026-08-02-next23-relaxation-collapse-design.md | SSD/workspace_data/newpauling/next23_relaxation_rule_freeze/MANIFEST.json :: candidate_count=17
40,next,NEXT24,2026-08-03,2026-08-02T21:45 .. 2026-08-02T21:54,2026-08-03T02:38:16,plausibility,,mined from round report/controls,search/test,frozen B+E law transferred zero-refit,SSAGen CIVAE 256 x0,label-blind prediction freeze; DFT endpoint pending (VASP not run),rejected 255/256 supported; SSAGen risk median 7.950 vs frozen threshold 2.033; min 3.201,unmarked,2026-08-03-next24-ssagen-cross-source-prediction-freeze.md | docs/plans/2026-08-03-next24-generated-cross-source-design.md | artifact mtime: docs/plans/2026-08-03-next24-generated-cross-source-design.md
41,next,NEXT25,2026-08-03,2026-08-02T22:14 .. 2026-08-02T23:26,2026-08-03T03:07:52,plausibility,,mined from round report/controls,search/test,frozen B+E law transferred zero-refit,OMatG Linear-ODE / MP-20 CSP (512 unseen compositions),MP-20 reference-match exclusion (StructureMatcher) four gates,"match protection LCB 0.877490 (<0.95), reject precision LCB 0.446289 (<0.90); nonmatch AUC 0.731252; Spearman 0.509 with RMSD",fail-gate,2026-08-03-next25-omatg-blind-csp-screening.md | docs/plans/2026-08-03-next25-omatg-blind-csp-design.md | artifact mtime: docs/plans/2026-08-03-next25-omatg-blind-csp-implementation.md
42,next,NEXT26,2026-08-03,2026-08-02T23:53 .. 2026-08-03T00:12,2026-08-03T04:30:37,adjacent,,mined from round report/controls,search/test,global covalent packing AND density rule,OMC25 molecular crystals (dev data0031 -> unseen data0037),severe initial DFT response (force/stress/energy-drop union),"unseen shard 7/290 rejects; precision LCB 0.4087, savings LCB 0.0131",fail-gate,2026-08-03-next26-next28-omc25-periodic-contact-laws.md | docs/plans/2026-08-03-next26-omc25-packing-law-design.md | SSD/workspace_data/newpauling/next26_omc25_holdout_evaluation_v1/MANIFEST.json :: passes_all_primary_gates=False || SSD/workspace_data/newpauling/next26_omc25_holdout_evaluation_v1
43,next,NEXT27,2026-08-03,2026-08-03T00:15 .. 2026-08-03T01:00,2026-08-03T05:15:41,adjacent,,mined from round report/controls,search/test,periodic contact pressure two-term (q05 + Pi2),"OMC25 six refcode-disjoint shards (1,390)",severe initial DFT response,AUC 0.8293; Spearman with initial stress 0.8348; reject precision LCB 0.6589 (<0.75),fail-gate,2026-08-03-next26-next28-omc25-periodic-contact-laws.md | docs/plans/2026-08-03-next27-periodic-contact-pressure-design.md | SSD/workspace_data/newpauling/next27_omc25_evaluation_v1/MANIFEST.json :: passes_all_prospective_gates=False || SSD/workspace_data/newpauling/next27_omc25_evaluation_v1/NEXT27_DFT_
44,next,NEXT28,2026-08-03,2026-08-03T01:05 .. 2026-08-03T01:20,2026-08-03T06:01:18,adjacent,,mined from round report/controls,search/test,periodic non-bonded contact coordination C1.05 >= 6.3,OMC25 prospective 927 (320 new refcodes),"severe initial DFT response, four prospective gates","coverage LCB 0.9971, protection LCB 0.9795, precision LCB 0.8109, savings LCB 0.0634; AUC 0.8589; all gates pass",pass,2026-08-03-next26-next28-omc25-periodic-contact-laws.md | docs/plans/2026-08-03-next28-contact-coordination-design.md | SSD/workspace_data/newpauling/next28_omc25_evaluation_v1/MANIFEST.json :: passes_all_prospective_gates=True || SSD/workspace_data/newpauling/next28_omc25_evaluation_v1/NEXT28_DFT_R
45,next,NEXT29,2026-08-03,2026-08-03T01:31 .. 2026-08-03T01:32,2026-08-03T06:27:06,plausibility,,mined from round report/controls,search/test,frozen C1.05>=6.3 molecular contact law transferred,OMatG 512,CSP reference-match exclusion,"coverage LCB 0.2460, nonmatch precision LCB 0.0000, savings LCB 0.0013; nonmatch AUC 0.6213",fail-gate,2026-08-03-next29-next31-energy-boundary.md | docs/plans/next29_omatg_contact_transport.py | artifact mtime: $PRIS_ARCHIVE/next29_omatg_contact_features_v1
46,next,NEXT30,2026-08-03,2026-08-03T01:42 .. 2026-08-03T01:52,2026-08-03T06:40:57,adjacent,,mined from round report/controls,search/test,"sparse equal-weight analytic sums (SIVR/normalized-Madelung/SCBVE), 232 candidates","WBM 4,096 development",corrected E_above_hull protection/precision/savings gates,"0/232 promoted; representative: valuable recall LCB 0.8911, high-hull precision LCB 0.3526; confirmation labels never opened",fail-gate,2026-08-03-next29-next31-energy-boundary.md | docs/plans/2026-08-03-next30-inorganic-hull-law-design.md | artifact mtime: docs/plans/2026-08-03-next30-inorganic-hull-law-design.md
47,next,NEXT31,2026-08-03,2026-08-03T02:02 .. 2026-08-03T02:28,2026-08-03T06:54:57,adjacent,,mined from round report/controls,search/test,R_E two-term (vdW q05 + C1.05) energy-response risk,"OMC25 new 1,308 x0 (616 new refcodes)","DFT relaxation energy drop >= 0.04 eV/atom, five gates","coverage LCB 0.9979, protected recall LCB 0.9902, precision LCB 0.7798, savings LCB 0.0217, AUC 0.9027; all five pass",probe-pass,2026-08-03-next29-next31-energy-boundary.md | docs/plans/next31_omc25_energy_evaluate.py | artifact mtime: $PRIS_ARCHIVE/next31_omc25_energy_rule_v1
48,next,NEXT32,2026-08-03,2026-08-03T02:41 .. 2026-08-03T03:29,2026-08-03T07:37:29,plausibility,,mined from round report/controls,search/test,absolute periodic contacts + SIVR/Madelung/SCBVE (140 candidates),"OMat24 rattled-relax dev 4,096 (parent-unique)",severe initial DFT response AUC + six gates,0/140 promoted; best AUC 0.6751; near-miss precision LCB 0.6653,fail-gate,2026-08-03-next32-omat24-inorganic-response.md | docs/plans/2026-08-03-next32-omat24-inorganic-response-design.md | artifact mtime: $PRIS_ARCHIVE/next32_omat24_raw_audit_v1
49,next,NEXT33,2026-08-03,2026-08-03T03:41 .. 2026-08-03T03:57,2026-08-03T08:35:02,plausibility,,mined from round report/controls,search/test,approximate symmetry recovery + directional steric imbalance (185 scan rows),"OMat24 rattled-relax dev 4,096",severe initial DFT response AUC + six gates,0/155 eligible rows pass; best AUC 0.706821 (vs NEXT32 best 0.675079); precision LCB max 0.681791,fail-gate,2026-08-03-next33-symmetry-steric.md | docs/plans/2026-08-03-next33-symmetry-steric-design.md | artifact mtime: docs/plans/2026-08-03-next33-symmetry-steric-design.md
50,next,NEXT34,2026-08-03,2026-08-03T04:12 .. 2026-08-03T04:22,2026-08-03T09:04:47,plausibility,,mined from round report/controls,search/test,analytic periodic point-charge (Ewald) field imbalance (130 scan rows),"OMat24 rattled-relax dev 4,096",severe initial DFT response AUC + six gates,0/130 pass; best new single AUC 0.532248; best new pair 0.627808 < comparator 0.706821,no-gain,2026-08-03-next34-analytic-field.md | docs/plans/2026-08-03-next34-analytic-field-design.md | artifact mtime: docs/plans/2026-08-03-next34-analytic-field-design.md
51,next,NEXT35,2026-08-03,2026-08-03T04:30 .. 2026-08-03T04:42,2026-08-03T09:27:32,plausibility,,mined from round report/controls,search/test,Coulomb-steric closed-form vector balance ACSB (90 scan rows),"OMat24 rattled-relax dev 4,096",severe initial DFT response AUC + six gates,0/90 pass; all 7 ACSB singles AUC < 0.50 (best 0.477258); best pair 0.627249,no-gain,2026-08-03-next35-coulomb-steric-balance.md | docs/plans/2026-08-03-next35-coulomb-steric-balance-design.md | artifact mtime: docs/plans/2026-08-03-next35-coulomb-steric-balance-design.md
52,next,NEXT36,2026-08-03,2026-08-03T04:51 .. 2026-08-03T05:01,2026-08-03T09:47:36,plausibility,,mined from round report/controls,search/test,weighted formal-charge long-wave spectrum CSF (85 scan rows),"OMat24 rattled-relax dev 4,096",severe initial DFT response AUC + six gates,0/85 pass; best new single AUC 0.490051; best new pair 0.611400,no-gain,2026-08-03-next36-charge-spectrum.md | docs/plans/2026-08-03-next36-charge-spectrum-design.md | artifact mtime: docs/plans/2026-08-03-next36-charge-spectrum-design.md
53,next,NEXT37,2026-08-03,2026-08-03T05:07 .. 2026-08-03T05:21,2026-08-03T10:03:18,plausibility,,mined from round report/controls,search/test,self-stress compatibility projection SSCP (85 scan rows),"OMat24 rattled-relax dev 4,096",severe initial DFT response AUC + six gates,0/85 pass; best new single AUC 0.638220 (load RMS); best new pair 0.694567 < comparator 0.706821,fail-gate,2026-08-03-next37-self-stress-compatibility.md | docs/plans/2026-08-03-next37-self-stress-compatibility-design.md | artifact mtime: docs/plans/2026-08-03-next37-self-stress-compatibility-implementation.md
54,next,NEXT38,2026-08-03,2026-08-03T05:31 .. 2026-08-03T05:46,2026-08-03T10:26:20,plausibility,,mined from round report/controls,search/test,bond-valence transport compatibility BVTC (85 scan rows),"OMat24 rattled-relax dev 4,096",severe initial DFT response AUC + six gates,0/85 pass; best new single AUC 0.568061; best new pair 0.665275 < comparator 0.706821,no-gain,2026-08-03-next38-bond-valence-transport-compatibility.md | docs/plans/2026-08-03-next38-bond-valence-transport-compatibility-design.md | artifact mtime: docs/plans/2026-08-03-next38-bond-valence-transport-compatibility-design.md
